#RAW_ID,BASE_ID,NAME,TYPE,IS_OPTIONAL,MULT_OK,MIN_VER,TEXT_FMT
0x4588,0x588,ChapterSkipType,u,1,0,-1,Defo
0x6ebc,0x2ebc,ChapterSegmentEditionUID,u,1,0,1,Defo
0x63c3,0x23c3,ChapterPhysicalEquiv,u,1,0,1,Defo
0x8f,0xf,ChapterTrack,m,1,0,1,Defo
0x89,0x9,ChapterTrackUID,u,0,1,1,Defo
0x80,0x0,ChapterDisplay,m,1,1,1,Defo
0x85,0x5,ChapString,8,0,0,1,Defo
0x437c,0x37c,ChapLanguage,s,0,1,1,Defo
0x437d,0x37d,ChapLanguageBCP47,s,1,1,4,Defo
0x437e,0x37e,ChapCountry,s,1,1,1,Defo
0x6944,0x2944,ChapProcess,m,1,1,1,Defo
0x6955,0x2955,ChapProcessCodecID,u,0,0,1,Defo
0x450d,0x50d,ChapProcessPrivate,b,1,0,1,Defo
0x6911,0x2911,ChapProcessCommand,m,1,1,1,Defo
0x6922,0x2922,ChapProcessTime,u,0,0,1,Defo
0x6933,0x2933,ChapProcessData,b,0,0,1,Defo
0x1254c367,0x254c367,Tags,m,1,1,1,Defo
0x7373,0x3373,Tag,m,0,1,1,Defo
0x63c0,0x23c0,Targets,m,0,0,1,Defo
0x68ca,0x28ca,TargetTypeValue,u,0,0,1,Defo
0x63ca,0x23ca,TargetType,s,1,0,1,Defo
0x63c5,0x23c5,TagTrackUID,u,1,1,1,Defo
0x63c9,0x23c9,TagEditionUID,u,1,1,1,Defo
0x63c4,0x23c4,TagChapterUID,u,1,1,1,Defo
0x63c6,0x23c6,TagAttachmentUID,u,1,1,1,Defo
0x67c8,0x27c8,SimpleTag,m,0,1,1,Defo
0x45a3,0x5a3,TagName,8,0,0,1,Defo
0x447a,0x47a,TagLanguage,s,0,0,1,Defo
0x447b,0x47b,TagLanguageBCP47,s,1,0,4,Defo
0x4484,0x484,TagDefault,u,0,0,1,Defo
0x4487,0x487,TagString,8,1,0,1,Defo
0x4485,0x485,TagBinary,b,1,0,1,Defo
